workload,completion_days
83.21194565045064,28.05523489730095
60.84157724389941,22.737915372464514
29.124532085700395,7.880046844180608
47.26331967306724,12.411292837189386
21.420181768456672,13.514608975660694
34.69870160704542,19.985689621667127
65.02382882142335,24.438099131907215
48.71238080720339,17.407547300334876
38.655324750753614,9.885114941355926
82.24341895824503,24.514155312825196
28.0688198822115,11.826709889814374
20.46275851525361,10.327085958498845
21.163191443454252,16.19481183236399
69.578650167816,21.57454517208922
13.28780584545183,12.56231408779793
14.50852508266979,15.53182861265616
29.62648619768027,19.73091103516316
40.3412542043364,19.581470736762373
81.48235191588388,26.42628550174438
82.54767478302044,20.514641903683728
22.756968858768563,8.233276086199734
77.20140553649864,11.349197727912046
16.307959773745033,14.633015412640184
35.95100362534328,15.62119694992066
72.29831488493457,21.71213667438485
60.82626156395513,19.865662351956615
39.132911821417636,19.168975901453553
24.27337786535448,11.403811377714868
19.071048340626994,8.301120827705184
25.602113766185354,11.46713265102937
51.181186608033954,22.259556375581163
54.18473003860642,18.69566764903999
81.25457149626138,20.853255953123124
30.421827932958205,15.851438525555684
40.19962814933695,16.650792736327954
51.58685065014065,24.41085700830096
12.383486491622957,7.241700108314988
67.14648180347565,17.1176483753679
60.37308985448184,22.974200532938454
12.821350014142512,8.645214667944709
12.551504891513696,7.031420666104416
19.696974507556632,12.636472618953137
13.809165420009206,17.740864535548692
19.880972889625497,13.881428456934453
21.015312929383477,6.720132262553795
69.73619317872794,24.651482515018614
36.50419921233036,20.543955516804495
25.592077201552385,17.708033618491328
60.26155585721844,15.103998492690785
66.94706198490178,22.908176111733834
88.65871965248162,27.77231718878758
49.14391190919986,20.897579238450984
33.70305580086777,13.82105743363177
47.819279094693286,10.374325332733353
76.14930429263809,18.77936551202927
73.00768173982594,21.55810073646989
17.315747212604748,11.267312919900128
15.412567324083124,17.268968779920193
46.69822770317219,15.838043294200688
66.61643909949453,20.873875509255637
28.41193223566071,13.0916854578839
12.817212018872732,8.686450799135809
83.03218586549134,23.51008821147349
19.117859683881015,13.0313585311626
76.52112914894889,21.614143508209064
63.138600298205276,22.56234168249501
46.527299766099176,11.506314483774975
62.150288231870086,17.228859504450345
49.61766319620793,22.413876726317408
32.96116553426287,17.686103200473188
47.58180302179251,18.21019287102132
11.335674135177687,10.754669631685099
51.876007268009516,19.375861193211403
56.150823215257134,18.322630936462684
50.05882384125472,16.280196523570577
29.12859149063926,12.362209662695912
64.66670411977887,21.207251952035858
56.123948696843414,14.308354023850292
83.83982329531777,24.020710294679876
72.49326310962729,22.739164901911618
19.35060032627467,16.112426783034937
43.07436674639159,16.421485561579274
87.40416465971359,27.885355546656584
29.54221518526993,12.966773822030378
43.66372727569583,14.475954939454061
82.14515634273005,18.55387145865482
56.69485745206774,20.185147235312655
55.3010195262766,14.719412068617086
45.11920318969505,20.368917274131075
55.51991678307262,17.656210000069397
62.01952304387063,21.116892379241918
20.38137488704691,17.121190282471893
27.654563073822693,11.241509588787073
54.13853545852347,23.7658385272729
57.29968183525578,15.04666377005222
52.24624291159924,20.437442822874672
16.972731505855137,10.669480626734671
24.65067366854879,16.521462311655636
20.10631270564465,11.57260515172976
15.047912588234942,12.981214982412668
51.928857509034486,15.202449124906156
46.25241354766732,20.310560006463422
62.46472550589171,24.72929213230474
18.029482414782805,12.690055452494443
17.62134379501373,10.205982847745615
84.9779187418319,20.458208473471732
32.53118420202696,12.545298699081915
64.75484213927061,21.98581570605629
60.572328272317016,19.720967370873502
64.6156824537945,21.965094777023044
77.41083818266243,23.147942959806088
52.05398114248464,19.245861729686123
29.208668316745808,15.841251753028207
69.1034926404642,17.964368429800068
71.99586363763537,17.790265838566516
65.93763008151438,25.71017316613052
75.39543019716105,18.936500551232616
50.61303898326707,11.25328928799452
66.62889292163986,24.47319147420812
83.03144940633547,23.0796344257391
